brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,59355,Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,No,Yes,72995,0.0
Chevrolet,Bolt EUV Premier,2022,31000,Electric,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,No,Yes,36000,0.0
BMW,M240 i,2019,19300,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,No,Yes,36000,3.0
Cadillac,Escalade EXT Base,2009,155000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,Yes,Yes,16900,6.2
Scion,tC Release Series 6.0,2010,120010,Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,Yes,Yes,6500,2.4
Kia,Optima EX,2012,152520,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,No,Yes,10900,2.4
Maserati,Quattroporte Base,2005,32000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,Yes,Yes,2954083,4.2
Porsche,Panamera Turbo,2015,47000,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,No,Yes,50000,4.8
Genesis,G70 2.0T,2023,2046,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,No,Yes,43499,2.0
Chevrolet,Trailblazer LS,2021,24965,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,Yes,Yes,22995,1.2
Toyota,Camry LE,2005,108000,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,Gray,No,Yes,7850,2.4
Toyota,Sienna LE,2015,76000,Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,No,Yes,18300,3.5
Porsche,911 Carrera S,2014,30000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,No,Yes,78500,3.8
Volvo,V60 T6 R-Design Platinum,2015,59271,Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,No,Yes,29900,3.0
Lexus,LX 600 Premium,2023,1500,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,Unknown,No,119500,3.4
BMW,330e iPerformance,2017,52500,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Blue,Black,Yes,Yes,24950,2.0
Tesla,Model Y Long Range,2020,23100,Electric,425.0HP Electric Motor Electric Fuel System,A/T,Blue,White,No,Yes,36495,0.0
FIAT,124 Spider Abarth,2017,45000,Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,Yes,Yes,22500,1.4
Dodge,Ram 1500 Quad Cab,2002,179000,Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,Yes,Yes,6500,5.9
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Orange,No,Yes,84900,3.0
BMW,X7 xDrive40i,2022,38671,Hybrid,3.0 Liter Turbo,Automatic,Gray,Blk,No,No,66998,3.0
Jeep,Wrangler Unlimited X,2007,135465,Gasoline,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,No,Yes,15750,3.8
MINI,Countryman Cooper S ALL4,2014,79000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,No,Yes,17000,1.6
Nissan,Maxima SV,2012,42259,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,Yes,Yes,17000,3.5
Toyota,Camry Solara SLE V6,2006,159890,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,Yes,Yes,6500,3.3
Maserati,Grecale Modena,2023,2200,Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Red,No,Yes,75000,2.0
Lexus,RX 450h Base,2022,15833,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,No,Yes,52000,3.5
BMW,328 i xDrive,2013,96000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,Yes,Yes,13500,2.0
BMW,135 i,2009,72900,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,No,Yes,15500,3.0
BMW,X7 M50i,2021,7121,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,No,No,94998,4.4
Hyundai,Tucson Hybrid SEL Convenience,2023,3402,Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,No,Yes,44000,1.6
Volvo,C30 T5 Premier Plus,2013,73000,Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,No,Yes,13900,2.5
Karma,Revero Base,2018,21000,Electric,403.0HP 2.0L Electric Motor Electric Fuel System,A/T,White,Black,No,Yes,51000,2.0
BMW,X7 xDrive40i,2021,30309,Hybrid,3.0 Liter Turbo,Automatic,Blue,Tan,No,No,63598,3.0
Ford,Mustang Mach-E California Route 1,2021,24000,Electric,290.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Black,No,Yes,38000,0.0
BMW,740 i,2016,73000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,23999,3.0
Ford,Edge SEL,2019,26465,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,White Platinum Tri-Coat Metallic,Ebony,No,No,24998,2.0
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,26870,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,Yes,Yes,34645,2.0
Honda,Pilot EX,2004,184000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,Yes,Yes,10500,3.5
BMW,X7 ALPINA XB7,2022,4514,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,No,No,132998,4.4
RAM,2500 Tradesman,2022,1300,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,No,Yes,48000,6.4
Jeep,Grand Cherokee Limited,2018,49924,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,No,Yes,26500,3.6
GMC,Yukon Denali,2019,36526,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,No,Yes,57850,6.2
BMW,M6 Base,2015,37000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Silver,No,Yes,45950,4.4
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,79884,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Gray,Graystone,Yes,No,24840,3.5
Volkswagen,Beetle 1.8T,2016,30000,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,Yes,Yes,19000,1.8
BMW,X6 M Base,2021,11102,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,101000,4.4
Ford,Mustang GT Premium,2012,105500,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,No,Yes,19000,5.0
BMW,X7 xDrive50i,2019,31157,Gasoline,4.4 Liter GDI DOHC Twin Turbo,Automatic,Black,Blk,No,No,65998,4.4
Kia,Sorento LX V6,2019,86204,Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Sparkling Silver,Satin Black,Yes,No,20708,3.3
BMW,435 i,2014,80211,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Gray,Red,Yes,Yes,17995,3.0
Aston,Martin V8 Vantage Base,2010,25991,Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,No,Yes,69995,4.7
Mercedes-Benz,CLK-Class CLK 350,2008,73000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,No,Yes,8400,3.5
BMW,740 i,2018,40989,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gold,No,Yes,35000,3.0
Dodge,Caliber Express,2010,102681,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,No,Yes,6000,2.0
Acura,ZDX Base,2010,123000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,Yes,Yes,13888,3.7
Jeep,Wrangler X,2005,160900,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Unknown,Yes,Yes,7200,4.0
BMW,M3 Base,2011,105000,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,Yes,Yes,21900,4.0
Kia,Sportage Plug-In Hybrid X-Line,2023,1340,Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Black,Black,No,Yes,41000,1.6
Ford,Mustang Mach-E Premium,2021,17850,Electric,266.0HP Electric Motor Electric Fuel System,A/T,Red,Black,No,Yes,41999,0.0
BMW,M3 Base,2011,72277,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,No,Yes,34950,4.0
Jeep,Wrangler Rubicon,2023,7000,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,No,Yes,46000,3.6
Porsche,Panamera 4 Platinum Edition,2022,10627,Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control","Automatic, 8-Spd PDK Dual-Clutch",Chalk,BLACK,No,No,99000,2.9
Ford,Explorer XLT,2020,67015,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Oxford White,Sandstone,No,No,28590,2.3
BMW,M4 Base,2018,19600,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,Yes,Yes,62000,3.0
Ford,Mustang Mach-E Premium,2022,5800,Electric,346.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,No,Yes,42500,0.0
FIAT,500e Battery Electric,2017,33812,Electric,111.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Black,No,Yes,14999,0.0
Cadillac,Escalade Luxury,2015,99897,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,26950,6.2
Mercedes-Benz,SL-Class SL 550,2014,127500,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,No,Yes,29000,4.7
Ford,Expedition Limited,2021,23842,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Stone,No,Yes,59203,3.5
Rivian,R1S Adventure Package,2023,2108,Electric,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,White,No,Yes,91000,0.0
BMW,M6 Base,2014,65550,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,39985,4.4
Lamborghini,Huracan LP580-2,2017,22000,Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,No,Yes,210000,5.2
Ford,Bronco Wildtrak Advanced,2022,15600,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Unknown,Yes,Yes,68995,2.7
Lexus,LC 500 Base,2021,22400,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,No,Yes,81900,5.0
Lexus,LS 460 Crafted Line,2015,89150,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,No,Yes,31900,4.6
BMW,M4 Base,2023,15000,Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va","Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",BLUE,ORANGE,No,No,81000,0.0
Audi,A3 2.0T Tech Premium,2018,49500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,No,Yes,25000,2.0
Audi,S8 4.2 quattro,2003,126000,Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,Unknown,No,13850,4.2
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,85385,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,No,Yes,15550,2.0
Cadillac,Escalade Sport,2023,3000,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,A/T,White,Brown,No,Yes,123999,3.0
Hyundai,Tucson SE,2018,66126,Gasoline,2.0L I4 16V GDI DOHC,6-Speed Automatic,Dazzling White,Gray,No,No,19190,2.0
Toyota,GR86 Premium,2023,1075,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,No,Yes,35000,2.4
Ford,Bronco Raptor,2023,2489,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black Onyx,No,No,98900,3.0
Hyundai,Santa Fe SEL,2021,25000,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,No,Yes,28500,2.5
Nissan,Armada Platinum,2017,92000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,No,Yes,20900,5.6
Lexus,GX 470 Base,2008,123500,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,Yes,Yes,14500,4.7
Cadillac,CTS Premium,2013,105000,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,Yes,Yes,12000,3.6
Audi,R8 Base,2008,49000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,No,Yes,63000,4.2
Jaguar,F-PACE S,2020,28357,Gasoline,3.0 Liter,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,No,No,47598,3.0
Chevrolet,Silverado 1500 1LT,2018,81000,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,No,Yes,32000,4.3
Ford,Expedition Limited,2021,45000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,No,Yes,52000,3.5
Toyota,Sequoia Platinum,2011,173456,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,Yes,Yes,16000,5.7
BMW,M440 i,2021,13700,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Beige,Unknown,No,60000,3.0
Audi,A8 L 55,2019,93400,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,No,Yes,42500,3.0
Toyota,Avalon XLE,2015,90000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,No,Yes,18200,3.5
Porsche,Macan Base,2017,40600,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,No,Yes,32000,2.0
Lexus,IS 350 F Sport,2023,20121,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,No,Yes,47124,3.5
Mercedes-Benz,Metris Base,2020,3921,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,Black,White,No,Yes,175000,2.0
Lexus,RX 350 Base,2011,187450,Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,Yes,Yes,10400,3.5
Toyota,Supra A91 Edition,2021,6400,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,No,Yes,68000,3.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,No,Yes,37995,3.0
BMW,X6 xDrive50i,2017,78500,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,Yes,Yes,42000,4.4
Chevrolet,Tahoe LT,2018,75000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,No,Yes,36000,5.3
Ford,F-150 SVT Raptor,2014,89988,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Red,Yes,Yes,42500,6.2
Subaru,Outback 3.0 R VDC Limited,2005,107000,Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,No,Yes,7100,3.0
Alfa,Romeo Giulia Ti,2019,21400,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,No,Yes,28500,2.0
Mazda,CX-7 Grand Touring,2007,83150,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,No,Yes,6950,2.3
Ford,F-150 Platinum,2018,92000,Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,Yes,Yes,36500,3.0
Mercedes-Benz,GLE 350 Base 4MATIC,2021,15042,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Selenite Gray Metallic,Macchiato,No,No,54599,2.0
Audi,A7 3.0T Premium Plus,2017,39000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,Yes,Yes,35000,3.0
RAM,2500 Laramie,2017,67483,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,Yes,Yes,46500,6.4
Tesla,Model S 70D,2015,62089,Electric,329.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,No,Yes,29975,0.0
Audi,S8 4.0T Plus,2017,54300,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,53500,4.0
Hyundai,Sonata Hybrid Limited,2022,30565,Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,No,Yes,29000,2.0
Audi,A8 L 4.0T,2016,142666,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Yes,Yes,22000,4.0
Ford,Ranger Sport SuperCab,2009,166200,Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,Yes,Yes,6999,4.0
INFINITI,Q50 Hybrid Premium,2015,88977,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Gray,Black,Yes,Yes,19977,3.5
BMW,M3 Base,2011,114890,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,No,Yes,20990,4.0
Mercedes-Benz,E-Class E 350 4MATIC,2009,171000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,Yes,Yes,4750,3.5
Ford,Explorer sport,2019,90067,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Black,Ebony Black,No,No,28590,3.5
Chevrolet,Camaro 1LT,2014,97579,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,Yes,Yes,15000,3.6
Mazda,MX-5 Miata RF Grand Touring,2017,52000,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,Yes,Yes,20500,2.0
Jeep,Grand Cherokee L Limited,2021,25968,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Global Black,No,No,38405,3.6
MINI,Hardtop Cooper S,2016,41680,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,No,Yes,17495,2.0
Saab,9-3 SE,2002,77200,Gasoline,205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Beige,No,Yes,7500,2.0
BMW,X5 xDrive40i,2019,50000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gold,No,Yes,43000,3.0
Porsche,Macan,2021,21613,Gasoline,2.0 Liter,Automatic,White,Unknown,No,No,58998,2.0
Audi,Q3 S line Premium Plus,2022,17377,Gasoline,2.0 Liter TFSI,Automatic,Glacier White,Pearl Beige,No,No,39998,2.0
GMC,Acadia SLE,2020,30426,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,Unknown,No,29645,2.5
Audi,allroad 2.7T,2005,153000,Gasoline,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,Blue,Yes,Yes,6500,2.7
Mercury,Marauder Base,2004,56600,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Silver,Black,No,Yes,23000,4.6
Hyundai,Genesis 3.8,2015,116612,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,Yes,Yes,12700,3.8
Audi,SQ5 3.0T Premium Plus,2018,72000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,Yes,Yes,30000,3.0
Audi,A8 L 55,2019,39000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,No,Yes,50000,3.0
Lincoln,Navigator Base,2008,149000,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,No,Yes,10099,5.4
BMW,M4 Base,2018,19300,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,No,Yes,64000,3.0
Mazda,CX-9 Carbon Edition,2021,27836,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Polymetal Gray Metallic,Red,No,Yes,36969,2.5
Chevrolet,Corvette Stingray w/1LT,2023,3273,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,No,Yes,78999,6.2
Ford,F-150 Lariat,2017,74349,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Unknown,No,Yes,36000,3.5
Ford,F-250 Lariat,2019,85000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,Yes,Yes,55000,6.7
Ferrari,Roma Base,2022,2250,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,No,Yes,259500,3.9
Mercedes-Benz,GLS 450 Base 4MATIC,2017,46100,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Beige,Yes,Yes,33000,3.0
Hyundai,Santa Fe SEL Plus 2.4,2019,49500,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,No,Yes,28000,2.4
Mercedes-Benz,E-Class E 350,2012,31130,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,No,Yes,23500,3.5
Ford,F-250 XLT SuperCab Super Duty,2008,149460,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,Blue,Gray,Yes,Yes,12240,6.4
Mercury,Marauder Base,2003,90000,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,Yes,Yes,15500,4.6
Ford,Transit-350 XLT,2021,48000,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,No,Yes,57000,3.5
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,Yes,Yes,15500,3.5
Volkswagen,Arteon SEL R-Line,2022,18655,Gasoline,2.0 Liter TSI,Automatic,Oryx White Prl,Titan Black,No,No,38698,2.0
Chevrolet,Suburban 2500 LS,2006,60000,Gasoline,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,Yes,Yes,24950,8.1
Chevrolet,Suburban 1500 LT,2014,169500,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,No,Yes,15000,5.3
Mitsubishi,Eclipse GS,2008,189500,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,No,Yes,6000,2.4
Toyota,Land Cruiser Base,2016,91000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,No,Yes,68500,5.7
Genesis,G80 2.5T,2022,7396,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black Forest Green,Black,No,No,41299,2.5
Toyota,Tundra SR5 Access Cab,2004,229450,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,No,Yes,8250,4.7
Maserati,Quattroporte Modena Q4,2023,8603,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Tan,No,No,125900,3.0
Audi,RS 5 4.2,2014,49098,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,Yes,Yes,44900,4.2
Nissan,Rogue S,2022,21212,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Gun Metallic,Charcoal,No,No,28906,1.5
Porsche,Panamera 4S,2010,62743,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,No,Yes,28600,4.8
BMW,M440 i xDrive,2021,24300,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,No,Yes,49999,3.0
